1934 13162
0 `` 162
1 your 75
2 ladyship 9
3 has 14
4 declared 1
5 it 148
6 to 426
7 be 122
8 impossible 4
9 . 521
10 '' 180
11 ought 13
12 so 69
13 ; 135
14 must 34
15 , 841
16 while 6
17 he 83
18 retains 1
19 the 345
20 use 3
21 of 312
22 his 102
23 reason 5
24 but 99
25 arts 1
26 and 262
27 allurements 1
28 may 19
29 in 155
30 a 139
31 moment 7
32 infatuation 1
33 have 102
34 made 17
35 him 86
36 forget 3
37 what 69
38 owes 1
39 himself 7
40 all 59
41 family 16
42 you 247
43 drawn 2
44 if 38
45 i 267
46 shall 26
47 last 12
48 person 4
49 confess 6
50 miss 14
51 bennet 26
52 do 41
53 know 27
54 who 24
55 am 36
56 ? 73
57 not 140
58 been 50
59 accustomed 1
60 such 31
61 language 2
62 as 109
63 this 41
64 almost 7
65 nearest 1
66 relation 3
67 world 12
68 entitled 2
69 dearest 6
70 concerns 2
71 are 37
72 mine 3
73 nor 10
74 will 46
75 behaviour 5
76 ever 15
77 induce 2
78 me 83
79 explicit 1
80 let 10
81 rightly 1
82 understood 1
83 match 7
84 which 53
85 presumption 1
86 aspire 1
87 can 34
88 never 24
89 take 8
90 place 9
91 no 48
92 mr. 45
93 darcy 47
94 is 67
95 engaged 4
96 my 94
97 daughter 12
98 now 28
99 say 16
100 only 22
101 that 140
102 suppose 6
103 make 24
104 an 24
105 offer 3
106 lady 25
107 catherine 23
108 hesitated 1
109 for 93
110 then 20
111 replied 11
112 : 13
113 engagement 7
114 between 3
115 them 24
116 peculiar 2
117 kind 7
118 from 55
119 their 36
120 infancy 1
121 they 39
122 intended 4
123 each 7
124 other 18
125 was 166
126 favourite 3
127 wish 12
128 _his_ 4
129 mother 12
130 well 19
131 hers 2
132 cradles 1
133 we 17
134 planned 1
135 union 1
136 at 72
137 when 34
138 wishes 4
139 both 8
140 sisters 6
141 would 41
142 accomplished 1
143 marriage 18
144 prevented 2
145 by 53
146 young 12
147 woman 8
148 inferior 2
149 birth 1
150 importance 2
151 wholly 4
152 unallied 1
153 ! 66
154 pay 2
155 regard 5
156 friends 3
157 tacit 1
158 with 73
159 de 3
160 bourgh 3
161 lost 2
162 every 27
163 feeling 5
164 propriety 1
165 delicacy 1
166 heard 7
167 earliest 2
168 hours 2
169 destined 2
170 cousin 7
171 yes 6
172 had 96
173 before 21
174 there 15
175 objection 2
176 marrying 4
177 nephew 13
178 certainly 7
179 kept 3
180 knowing 2
181 aunt 14
182 wished 3
183 marry 3
184 did 32
185 much 32
186 could 44
187 planning 1
188 its 15
189 completion 1
190 depended 1
191 on 71
192 others 6
193 neither 5
194 honour 5
195 inclination 1
196 confined 1
197 why 5
198 another 8
199 choice 4
200 accept 3
201 because 4
202 decorum 1
203 prudence 1
204 nay 2
205 interest 2
206 forbid 1
207 expect 2
208 noticed 2
209 or 30
210 wilfully 1
211 act 3
212 against 3
213 inclinations 1
214 censured 1
215 slighted 1
216 despised 2
217 everyone 1
218 connected 2
219 alliance 1
220 disgrace 2
221 name 6
222 even 11
223 mentioned 4
224 any 25
225 us 7
226 these 7
